Title,Finding,Result value,Expected Result,Name,Discussion
Authentication
Enforce Multifactor Authentication for Login,true,0,integer: 2,auth_pam_login_smartcard_enforce,The system _MUST_ be configured to enforce multifactor authentication.All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.NOTE: /etc/pam.d/login will be automatically modified to its original state following any update or major upgrade to the operating system.
Allow Smartcard Authentication,true,null,string: true,auth_smartcard_allow,Smartcard authentication _MUST_ be allowed.The use of smartcard credentials facilitates standardization and reduces the risk of unauthorized access.When enabled the smartcard can be used for login authorization and screen saver unlocking.
Enforce Multifactor Authentication for Privilege Escalation Through the sudo Command,true,1,integer: 2,auth_pam_sudo_smartcard_enforce,The system _MUST_ be configured to enforce multifactor authentication when the sudo command is used to elevate privilege.All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.NOTE: /etc/pam.d/sudo will be automatically modified to its original state following any update or major upgrade to the operating system.
Enforce Smartcard Authentication,true,null,string: true,auth_smartcard_enforce,Smartcard authentication _MUST_ be enforced.The use of smartcard credentials facilitates standardization and reduces the risk of unauthorized access.When enforceSmartCard is set to "true" the smartcard must be used for login authorization and unlocking the screensaver.CAUTION: enforceSmartCard will apply to the whole system. No users will be able to login with their password unless the profile is removed or a user is exempt from smartcard enforcement.NOTE: enforceSmartcard requires allowSmartcard to be set to true in order to work.
Enforce Multifactor Authentication for the su Command,true,0,integer: 2,auth_pam_su_smartcard_enforce,The system _MUST_ be configured such that when the su command is used multifactor authentication is enforced.All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.IMPORTANT: Modification of Pluggable Authentication Modules (PAM) now require user authorization or use of a Privacy Preferences Policy Control (PPPC) profile from MDM that authorizes modifying system administrator files or full disk access.NOTE: /etc/pam.d/su will be automatically modified to its original state following any update or major upgrade to the operating system.
Disable Password Authentication for SSH,true,0,integer: 2,auth_ssh_password_authentication_disable,If remote login through SSH is enabled password based authentication _MUST_ be disabled for user login.All users _MUST_ go through multifactor authentication to prevent unauthenticated access and potential compromise to the system.NOTE: /etc/ssh/sshd_config will be automatically modified to its original state following any update or major upgrade to the operating system.
Password Policy
Disable Accounts after $ODV Days of Inactivity,true,null,integer: 35,pwpolicy_account_inactivity_enforce,The macOS _MUST_ be configured to disable accounts after $ODV days of inactivity.This rule prevents malicious users from making use of unused accounts to gain access to the system while avoiding detection.
Prohibit Password Reuse for a Minimum of $ODV Generations,true,null,string: pass,pwpolicy_history_enforce,The macOS _MUST_ be configured to enforce a password history of at least $ODV previous passwords when a password is created.This rule ensures that users are  not allowed to reuse a password that was used in any of the $ODV previous password generations.Limiting password reuse protects against malicious users attempting to gain access to the system via brute-force hacking methods.NOTE: The guidance for password based authentication in NIST 800-53 (Rev 5) and NIST 800-63B state that complexity rules should be organizationally defined. The values defined are based off of common complexity values. But your organization may define its own password complexity rules.
